date,dm3/s,rainfall
2022-07-01,12,0.0
2022-07-02,12,0.0
2022-07-03,10,3.4
2022-07-04,10,1.3
2022-07-05,9,0.3
2022-07-06,71,10.7
2022-07-07,14,0.0
2022-07-08,13,0.0
2022-07-09,11,0.0
2022-07-10,10,0.0
2022-07-11,9,0.0
2022-07-12,8,0.0
2022-07-13,9,0.0
2022-07-14,9,0.0
2022-07-15,9,0.0
2022-07-16,8,0.0
2022-07-17,8,0.0
2022-07-18,7,0.0
2022-07-19,6,0.0
2022-07-20,6,3.3
2022-07-21,6,0.2
2022-07-22,5,2.6
2022-07-23,7,0.0
2022-07-24,7,0.0
2022-07-25,6,0.0
2022-07-26,6,0.9
2022-07-27,7,0.0
2022-07-28,6,0.0
2022-07-29,6,0.0
2022-07-30,6,0.9
2022-07-31,5,0.2
2022-08-01,6,0.0
2022-08-02,5,0.0
2022-08-03,5,2.4
2022-08-04,4,1.4
2022-08-05,4,1.4
2022-08-06,5,0.1
2022-08-07,5,0.0
2022-08-08,5,1.8
2022-08-09,4,1.3
2022-08-10,4,1.4
2022-08-11,4,0.6
2022-08-12,3,0.0
2022-08-13,3,1.4
2022-08-14,3,1.5
2022-08-15,4,0.0
2022-08-16,4,0.0
2022-08-17,4,4.1
2022-08-18,4,10.2
2022-08-19,10,0.0
2022-08-20,10,0.0
2022-08-21,10,0.2
2022-08-22,8,2.9
2022-08-23,9,0.1
2022-08-24,8,1.5
2022-08-25,6,1.4
2022-08-26,7,0.4
2022-08-27,7,0.0
2022-08-28,8,0.1
2022-08-29,10,4.0
2022-08-30,9,0.0
2022-08-31,7,5.0
2022-09-01,7,0.0
2022-09-02,7,0.0
2022-09-03,7,0.0
2022-09-04,7,0.0
2022-09-05,6,0.0
2022-09-06,6,0.0
2022-09-07,6,0.0
2022-09-08,5,0.0
2022-09-09,5,0.7
2022-09-10,4,0.0
2022-09-11,4,0.0
2022-09-12,5,5.8
2022-09-13,9,0.0
2022-09-14,8,0.0
2022-09-15,7,0.0
2022-09-16,7,2.6
2022-09-17,7,0.0
2022-09-18,7,0.0
2022-09-19,7,0.1
2022-09-20,7,0.0
2022-09-21,7,0.0
2022-09-22,7,0.0
2022-09-23,6,0.8
2022-09-24,5,11.5
2022-09-25,5,0.0
2022-09-26,5,0.0
2022-09-27,4,14
2022-09-28,4,8.3
2022-09-29,24,33.1
2022-09-30,19,12.5
2022-10-01,5,0.0
2022-10-02,3,0.0
2022-10-03,3,0.1
2022-10-04,3,0.2
2022-10-05,3,0.0
2022-10-06,3,0.0
2022-10-07,3,0.3
2022-10-08,2,0.7
2022-10-09,3,0.0
2022-10-10,3,0.2
2022-10-11,2,0.5
2022-10-12,3,3.1
2022-10-13,4,0.0
2022-10-14,3,0.0
2022-10-15,3,0.0
2022-10-16,3,0.0
2022-10-17,3,3.7
2022-10-18,3,0.0
2022-10-19,2,6.3
2022-10-20,2,1.8
2022-10-21,2,1.8
2022-10-22,3,2.5
2022-10-23,2,0.4
2022-10-24,2,0.0
2022-10-25,2,0.0
2022-10-26,2,0.0
2022-10-27,2,0.0
2022-10-28,2,0.0
2022-10-29,2,0.0
2022-10-30,1,0.8
2022-10-31,1,4.7
2022-11-01,3,0.9
2022-11-02,3,0.0
2022-11-03,4,4.7
2022-11-04,19,19.3
2022-11-05,4,0.0
2022-11-06,5,0.0
2022-11-07,5,0.0
2022-11-08,4,0.1
2022-11-09,3,1.4
2022-11-10,3,0.0
2022-11-11,4,0.0
2022-11-12,3,0.0
2022-11-13,3,0.0
2022-11-14,3,5.3
2022-11-15,3,2.1
2022-11-16,3,0.1
2022-11-17,3,6.3
2022-11-18,4,3.7
2022-11-19,45,25.3
2022-11-20,25,8.7
2022-11-21,128,25.5
2022-11-22,69,0.8
2022-11-23,102,8.0
2022-11-24,51,3.9
2022-11-25,41,3.4
2022-11-26,25,0.0
2022-11-27,17,4.5
2022-11-28,34,11.1
2022-11-29,193,20.6
2022-11-30,156,0.0
2022-12-01,55,0.0
2022-12-02,36,0.0
2022-12-03,32,7.2
2022-12-04,26,0.0
2022-12-05,22,0.0
2022-12-06,20,0.0
2022-12-07,18,0.0
2022-12-08,18,0.8
2022-12-09,20,4.2
2022-12-10,27,1.1
2022-12-11,21,0.1
2022-12-12,27,5.3
2022-12-13,27,0.6
2022-12-14,24,1.9
2022-12-15,63,10.8
2022-12-16,102,4.9
2022-12-17,71,0.0
2022-12-18,47,0.0
2022-12-19,39,0.1
2022-12-20,33,1.8
2022-12-21,28,0.0
2022-12-22,27,0.0
2022-12-23,26,0.0
2022-12-24,25,0.0
2022-12-25,24,0.0
2022-12-26,22,0.3
2022-12-27,21,0.3
2022-12-28,20,0.0
2022-12-29,23,11.1
2022-12-30,41,1.1
2022-12-31,28,0.0
2023-01-01,26,0.0
2023-01-02,28,4.9
2023-01-03,25,0.0
2023-01-04,25,0.0
2023-01-05,25,0.0
2023-01-06,24,0.1
2023-01-07,25,1.4
2023-01-08,133,21.5
2023-01-09,296,1.3
2023-01-10,109,0.0
2023-01-11,80,7.0
2023-01-12,59,0.1
2023-01-13,40,0.6
2023-01-14,36,0.0
2023-01-15,87,12.4
2023-01-16,602,38.2
2023-01-17,623,21.6
2023-01-18,274,14.1
2023-01-19,300,49.0
2023-01-20,492,3.1
2023-01-21,226,0.1
2023-01-22,149,0.0
2023-01-23,117,0.3
2023-01-24,96,1.7
2023-01-25,89,7.7
2023-01-26,230,10.9
2023-01-27,194,7.4
2023-01-28,150,7.3
2023-01-29,122,1.7
2023-01-30,106,0.0
2023-01-31,113,3.0
2023-02-01,156,0.4
2023-02-02,136,0.0
2023-02-03,112,0.0
2023-02-04,96,0.0
2023-02-05,81,0.0
2023-02-06,78,0.0
2023-02-07,73,3.3
2023-02-08,65,0.0
2023-02-09,59,0.0
2023-02-10,53,0.1
2023-02-11,50,0.0
2023-02-12,47,0.0
2023-02-13,44,0.1
2023-02-14,40,0.1
2023-02-15,36,0.0
2023-02-16,36,0.3
